country,year,temperature,precipitation,drought
Australia,2000,39.43,74.93,88.93
Australia,2001,41.26,65.2,76.13
Australia,2002,41.03,63.27,135.38
Australia,2003,41.38,68.46,78.44
Australia,2004,40.75,52.58,87.17
Australia,2005,41.48,38.56,86.31
Australia,2006,41.5,64.62,87.69
Australia,2007,40.43,78.4,84.62
Australia,2008,40.26,50.79,88.42
Australia,2009,41.18,62.16,105.06
Australia,2010,40.59,60.43,45.36
Australia,2011,40.79,78.46,74.38
Australia,2012,40.95,75.47,98.19
Australia,2013,43.01,48.32,99.5
Australia,2014,42.55,66.01,88.34
Australia,2015,40.41,69.29,89.13
Australia,2016,40.38,60.2,53.1
Australia,2017,40.81,60.23,93.13
Australia,2018,42.3,57.5,112.89
Australia,2019,43.43,36.47,114.46
Australia,2020,42.02,65.0,81.36
Australia,2021,40.42,52.91,76.43
Australia,2022,41.06,63.69,62.89
Australia,2023,41.18,62.8,99.36
Belgium,2000,30.69,47.86,10.21
Belgium,2001,31.96,45.74,13.05
Belgium,2002,31.1,81.03,20.15
Belgium,2003,34.83,56.19,20.65
Belgium,2004,29.99,53.42,15.49
Belgium,2005,32.03,51.92,16.67
Belgium,2006,34.29,47.99,14.18
Belgium,2007,29.37,46.46,32.44
Belgium,2008,29.56,42.78,16.91
Belgium,2009,32.33,46.66,13.27
Belgium,2010,32.74,71.57,16.14
Belgium,2011,33.01,55.44,21.41
Belgium,2012,33.07,55.38,16.46
Belgium,2013,32.12,52.61,19.03
Belgium,2014,31.61,63.19,14.74
Belgium,2015,33.81,41.62,14.91
Belgium,2016,32.04,61.43,16.95
Belgium,2017,32.23,55.58,14.82
Belgium,2018,33.91,47.46,22.66
Belgium,2019,38.29,49.31,19.06
Belgium,2020,35.23,54.75,22.11
Belgium,2021,29.32,74.17,12.32
Belgium,2022,36.56,47.95,17.6
Belgium,2023,30.25,55.04,28.52
Brazil,2000,34.56,88.44,37.5
Brazil,2001,34.88,80.22,41.61
Brazil,2002,35.25,92.04,42.53
Brazil,2003,35.06,77.14,43.51
Brazil,2004,34.96,100.18,49.62
Brazil,2005,35.7,86.75,53.49
Brazil,2006,35.14,84.74,49.3
Brazil,2007,35.38,91.76,57.89
Brazil,2008,35.67,89.92,57.63
Brazil,2009,35.21,86.95,38.38
Brazil,2010,35.65,83.69,61.1
Brazil,2011,35.57,93.48,49.66
Brazil,2012,35.98,88.14,58.28
Brazil,2013,35.34,90.75,42.75
Brazil,2014,36.07,80.69,42.27
Brazil,2015,36.92,81.91,53.19
Brazil,2016,35.79,107.15,51.38
Brazil,2017,35.88,91.48,61.46
Brazil,2018,35.48,97.33,49.82
Brazil,2019,36.29,79.67,53.5
Brazil,2020,36.79,87.57,62.39
Brazil,2021,35.89,91.01,57.65
Brazil,2022,35.56,88.23,52.38
Brazil,2023,36.95,86.94,55.97
Denmark,2000,26.8,38.56,16.2
Denmark,2001,26.68,46.8,14.31
Denmark,2002,26.62,41.54,24.23
Denmark,2003,27.9,48.99,21.56
Denmark,2004,26.77,45.42,14.73
Denmark,2005,26.43,36.29,17.91
Denmark,2006,28.34,52.62,18.49
Denmark,2007,27.07,57.62,15.92
Denmark,2008,27.56,56.69,21.11
Denmark,2009,26.13,44.27,18.98
Denmark,2010,27.8,53.11,16.98
Denmark,2011,23.93,48.07,24.8
Denmark,2012,26.2,39.69,15.73
Denmark,2013,27.91,38.72,22.06
Denmark,2014,27.46,43.45,12.74
Denmark,2015,25.81,53.96,16.85
Denmark,2016,26.65,38.36,18.74
Denmark,2017,22.99,56.42,15.76
Denmark,2018,29.29,50.37,23.22
Denmark,2019,27.87,48.02,15.44
Denmark,2020,27.98,41.87,17.32
Denmark,2021,27.09,53.21,18.6
Denmark,2022,29.77,48.56,24.92
Denmark,2023,25.12,45.35,24.62
France,2000,31.23,60.98,16.52
France,2001,32.34,53.94,17.82
France,2002,31.58,59.57,17.56
France,2003,36.89,56.58,21.76
France,2004,31.92,55.77,17.53
France,2005,32.29,44.19,16.89
France,2006,34.16,55.56,18.66
France,2007,31.24,46.69,21.94
France,2008,30.58,60.19,18.41
France,2009,33.26,49.75,18.45
France,2010,32.32,53.55,18.18
France,2011,33.17,56.56,23.28
France,2012,34.56,53.2,18.26
France,2013,32.55,53.84,18.13
France,2014,31.9,51.33,18.64
France,2015,34.82,59.22,20.52
France,2016,33.67,59.59,23.47
France,2017,33.3,52.12,19.52
France,2018,33.76,57.05,18.21
France,2019,37.18,62.16,22.08
France,2020,35.32,62.08,24.41
France,2021,30.76,54.2,17.89
France,2022,36.88,51.13,21.42
France,2023,33.71,62.49,26.31
Germany,2000,32.71,45.41,11.57
Germany,2001,32.41,47.63,13.66
Germany,2002,32.83,56.75,19.57
Germany,2003,34.8,54.16,20.89
Germany,2004,29.8,46.4,15.74
Germany,2005,31.06,42.15,18.03
Germany,2006,34.0,43.16,14.98
Germany,2007,33.23,54.08,25.4
Germany,2008,30.63,39.94,14.81
Germany,2009,32.5,40.31,14.25
Germany,2010,33.75,62.7,14.65
Germany,2011,30.62,49.92,33.71
Germany,2012,34.0,46.72,15.59
Germany,2013,33.56,65.23,17.94
Germany,2014,31.43,58.74,14.34
Germany,2015,35.03,48.67,16.84
Germany,2016,32.06,45.71,15.51
Germany,2017,30.75,61.03,15.26
Germany,2018,34.03,47.95,20.86
Germany,2019,34.88,43.36,15.98
Germany,2020,33.14,46.93,21.77
Germany,2021,32.15,59.98,13.23
Germany,2022,35.53,45.77,18.0
Germany,2023,32.99,53.43,17.63
Greece,2000,36.7,47.43,52.34
Greece,2001,33.99,70.57,49.74
Greece,2002,34.07,85.0,35.61
Greece,2003,34.47,70.28,43.53
Greece,2004,33.18,72.91,41.95
Greece,2005,33.47,68.13,32.82
Greece,2006,34.97,66.05,41.79
Greece,2007,37.63,71.41,49.61
Greece,2008,34.01,52.53,49.58
Greece,2009,34.96,76.04,43.24
Greece,2010,34.06,72.54,39.77
Greece,2011,33.81,56.42,52.7
Greece,2012,35.64,83.91,53.96
Greece,2013,33.57,65.6,48.31
Greece,2014,33.54,79.13,32.09
Greece,2015,34.22,81.25,39.02
Greece,2016,33.85,61.59,42.93
Greece,2017,35.84,83.02,37.64
Greece,2018,32.62,64.89,32.15
Greece,2019,34.18,75.64,41.7
Greece,2020,34.2,81.71,40.83
Greece,2021,37.18,98.07,46.41
Greece,2022,33.74,60.91,34.12
Greece,2023,36.53,101.65,41.84
India,2000,39.06,121.68,77.99
India,2001,39.46,116.52,75.03
India,2002,40.09,114.89,66.02
India,2003,39.98,116.54,67.77
India,2004,39.3,110.02,75.13
India,2005,39.6,142.57,68.09
India,2006,39.28,132.6,60.96
India,2007,39.07,136.3,68.78
India,2008,38.47,119.54,61.01
India,2009,39.65,127.88,75.25
India,2010,40.39,124.91,74.93
India,2011,38.63,134.3,79.99
India,2012,39.87,115.84,80.03
India,2013,40.11,124.45,61.19
India,2014,39.76,123.99,59.48
India,2015,39.87,120.67,52.84
India,2016,40.13,136.26,78.35
India,2017,39.72,137.29,74.37
India,2018,39.39,126.17,75.57
India,2019,40.0,137.45,56.74
India,2020,39.55,127.95,57.96
India,2021,37.86,127.56,61.16
India,2022,39.29,133.15,84.4
India,2023,39.03,142.67,58.27
Ireland,2000,23.92,62.82,14.42
Ireland,2001,23.06,42.38,16.75
Ireland,2002,22.0,60.85,17.29
Ireland,2003,26.61,46.82,17.18
Ireland,2004,22.83,53.85,17.39
Ireland,2005,25.52,54.73,14.07
Ireland,2006,27.58,71.64,17.7
Ireland,2007,22.78,52.24,23.71
Ireland,2008,22.18,57.88,13.87
Ireland,2009,24.07,78.87,19.34
Ireland,2010,22.55,55.86,16.88
Ireland,2011,21.68,64.66,13.76
Ireland,2012,23.73,62.15,12.14
Ireland,2013,26.94,67.53,19.29
Ireland,2014,24.64,54.56,15.15
Ireland,2015,21.06,81.42,13.11
Ireland,2016,25.61,49.17,17.39
Ireland,2017,23.46,46.5,13.16
Ireland,2018,27.63,48.31,24.49
Ireland,2019,23.33,60.47,12.58
Ireland,2020,23.29,63.61,15.36
Ireland,2021,27.29,59.36,14.92
Ireland,2022,26.8,60.17,17.43
Ireland,2023,25.38,58.5,21.1
Italy,2000,32.58,95.04,29.41
Italy,2001,31.69,50.97,31.05
Italy,2002,31.38,79.83,23.36
Italy,2003,34.07,76.6,28.34
Italy,2004,31.8,69.53,25.65
Italy,2005,32.88,70.2,25.94
Italy,2006,31.8,75.66,24.58
Italy,2007,33.55,54.54,38.36
Italy,2008,31.5,80.11,32.4
Italy,2009,32.46,66.95,28.28
Italy,2010,32.22,81.54,22.57
Italy,2011,32.47,74.09,33.81
Italy,2012,33.53,82.63,32.4
Italy,2013,32.88,74.66,26.6
Italy,2014,30.25,76.98,23.15
Italy,2015,33.34,72.78,31.11
Italy,2016,31.19,67.97,25.08
Italy,2017,34.73,65.17,30.96
Italy,2018,31.72,113.03,17.65
Italy,2019,33.33,105.25,29.91
Italy,2020,32.49,94.54,26.38
Italy,2021,33.89,71.38,28.85
Italy,2022,33.46,63.08,32.56
Italy,2023,34.77,72.96,29.41
Kenya,2000,35.41,39.61,83.99
Kenya,2001,34.96,57.53,78.52
Kenya,2002,34.57,58.87,76.35
Kenya,2003,35.55,61.6,72.53
Kenya,2004,35.25,53.23,81.39
Kenya,2005,35.68,44.94,70.57
Kenya,2006,35.62,67.31,61.37
Kenya,2007,36.24,45.38,56.09
Kenya,2008,34.91,66.82,74.18
Kenya,2009,35.39,44.7,92.0
Kenya,2010,35.14,60.98,73.3
Kenya,2011,35.69,67.82,74.72
Kenya,2012,35.4,48.52,75.29
Kenya,2013,35.35,65.13,68.32
Kenya,2014,35.09,49.85,65.86
Kenya,2015,35.66,61.61,78.59
Kenya,2016,36.72,68.71,90.86
Kenya,2017,35.91,57.45,65.55
Kenya,2018,35.21,80.65,73.58
Kenya,2019,36.34,75.57,66.35
Kenya,2020,34.91,77.01,52.45
Kenya,2021,35.12,48.27,84.51
Kenya,2022,35.63,43.95,94.29
Kenya,2023,35.35,82.48,86.24
Netherlands,2000,31.58,38.55,12.35
Netherlands,2001,30.74,45.66,13.29
Netherlands,2002,31.09,61.29,20.16
Netherlands,2003,33.04,50.58,22.21
Netherlands,2004,30.88,54.72,15.69
Netherlands,2005,31.18,40.23,15.77
Netherlands,2006,33.81,44.26,15.14
Netherlands,2007,28.52,45.13,33.49
Netherlands,2008,29.93,44.73,15.52
Netherlands,2009,32.74,45.8,13.25
Netherlands,2010,32.9,67.58,17.76
Netherlands,2011,31.47,63.6,21.59
Netherlands,2012,32.71,48.44,15.99
Netherlands,2013,32.52,60.4,20.22
Netherlands,2014,32.24,47.68,15.3
Netherlands,2015,33.28,51.02,15.94
Netherlands,2016,31.7,43.93,18.03
Netherlands,2017,30.32,48.91,15.09
Netherlands,2018,34.27,42.35,22.03
Netherlands,2019,37.37,64.14,15.99
Netherlands,2020,32.95,44.44,20.79
Netherlands,2021,30.89,58.09,14.57
Netherlands,2022,35.6,41.4,17.87
Netherlands,2023,31.39,52.21,26.4
Nigeria,2000,39.08,66.89,97.83
Nigeria,2001,38.59,79.66,87.26
Nigeria,2002,38.75,73.78,78.39
Nigeria,2003,38.95,69.55,76.77
Nigeria,2004,39.49,83.83,81.29
Nigeria,2005,39.57,78.78,82.08
Nigeria,2006,39.87,77.69,89.0
Nigeria,2007,40.05,87.28,85.71
Nigeria,2008,38.77,95.23,90.64
Nigeria,2009,39.17,84.14,83.88
Nigeria,2010,40.85,89.22,86.5
Nigeria,2011,39.42,91.38,91.69
Nigeria,2012,39.03,99.21,81.02
Nigeria,2013,39.3,79.03,78.68
Nigeria,2014,38.65,99.03,70.73
Nigeria,2015,39.24,81.83,86.88
Nigeria,2016,39.78,82.01,76.35
Nigeria,2017,39.81,84.17,86.85
Nigeria,2018,39.13,92.97,72.59
Nigeria,2019,39.8,75.12,72.48
Nigeria,2020,39.91,88.85,87.67
Nigeria,2021,40.07,95.06,98.39
Nigeria,2022,39.76,96.94,96.55
Nigeria,2023,39.11,97.51,77.92
Norway,2000,22.21,56.05,14.77
Norway,2001,23.6,59.93,14.38
Norway,2002,23.77,61.88,18.99
Norway,2003,25.79,66.95,18.53
Norway,2004,24.96,68.4,12.79
Norway,2005,24.56,66.62,14.08
Norway,2006,23.84,72.61,15.66
Norway,2007,23.25,60.41,15.74
Norway,2008,24.7,61.52,14.79
Norway,2009,23.66,63.61,14.13
Norway,2010,21.56,65.13,17.71
Norway,2011,23.03,64.49,14.27
Norway,2012,20.44,55.61,18.83
Norway,2013,23.41,64.92,17.79
Norway,2014,26.66,70.65,20.06
Norway,2015,21.92,70.02,12.47
Norway,2016,23.32,66.73,18.41
Norway,2017,21.51,67.17,14.26
Norway,2018,27.72,83.6,19.1
Norway,2019,26.63,79.09,17.33
Norway,2020,24.3,75.37,12.76
Norway,2021,25.75,69.18,16.78
Norway,2022,25.11,69.92,19.25
Norway,2023,23.95,70.17,16.66
Poland,2000,33.16,53.67,22.66
Poland,2001,31.33,68.23,14.7
Poland,2002,31.84,40.63,16.52
Poland,2003,31.4,38.88,21.76
Poland,2004,30.67,38.89,14.81
Poland,2005,32.03,37.69,20.46
Poland,2006,32.68,60.05,19.22
