Rank,Country,Composite Score,Temperature (norm.),Precipitation (norm.),Drought (norm.)
1,India,0.878,0.901,1.0,0.735
2,Nigeria,0.785,0.897,0.509,0.948
3,Australia,0.742,1.0,0.227,1.0
4,Portugal,0.575,0.72,0.533,0.471
5,Brazil,0.57,0.679,0.546,0.486
6,Kenya,0.564,0.667,0.204,0.82
7,South Africa,0.479,0.72,0.091,0.625
8,Greece,0.449,0.617,0.36,0.369
9,Spain,0.393,0.683,0.145,0.35
10,Italy,0.359,0.504,0.404,0.168
11,France,0.25,0.542,0.157,0.05
12,United States,0.245,0.536,0.0,0.198
13,Belgium,0.221,0.496,0.144,0.023
14,Germany,0.209,0.514,0.095,0.018
15,Poland,0.208,0.492,0.093,0.038
16,Netherlands,0.2,0.478,0.095,0.026
17,Norway,0.098,0.0,0.293,0.0
18,Denmark,0.088,0.171,0.057,0.036
19,United Kingdom,0.08,0.088,0.141,0.011
20,Sweden,0.08,0.146,0.059,0.035
21,Ireland,0.074,0.02,0.197,0.005
